0HR	15MIN	30MIN	1HR	2HR	4HR	6HR	8HR	12HR	16HR	20HR	24HR	UNSYN
0	0.014355	0.042644	0.097611	0.084064	-0.23447	-0.62149	-1.152	-1.2176	-1.5564	-1.2176	-1	-1.0589
0	-0.043943	0.28688	0.1635	-0.25154	-0.089267	-0.4344	-0.8365	-0.97143	-1.1203	-0.8365	-1.1203	-1.0893
0	0.38957	0.53605	0.58496	0.46467	-0.1047	-0.39593	-0.68966	-0.76121	-0.71312	-1.0291	-0.8365	-0.8625
0	0.23879	-0.45403	-0.26882	-0.34008	-0.71312	-1.3585	-2.0589	-2.5564	-1.3959	-1.5146	-1.3959	-1.3959
0	-0.1047	-0.37707	-0.25154	-0.4344	-0.59946	-1	-1.5146	-1.6897	-0.94342	-1.2176	-1.1844	-1.152
0	-0.13606	-0.12029	-0.30401	-0.45403	-0.97143	-1.4739	-1.737	-2.1203	-1.4344	-1.6439	-1.4739	-1.737
0	0.11103	-0.25154	-0.074001	-0.089267	-0.2863	-0.76121	-0.88897	-2.0589	-1.0291	-1.0589	-0.66658	-1.2515
0	-0.18442	-0.21759	-0.57777	-0.47393	-0.26882	-0.88897	-1	-1.5564	-1.152	-1	-1.0893	-1.3585
0	0.084064	0	0.028569	0.097611	0.21412	-0.55639	-1.0291	-1.3219	-0.8625	-0.2863	-0.13606	-0.029146
0	0.40054	0.34483	-0.20091	0.056584	0.070389	-0.30401	-0.94342	-1.2176	-0.53533	-0.51457	-0.53533	-0.8365
0	0.15056	0.042644	-0.39593	-0.32193	-0.73697	-0.94342	-1.152	-1.6439	-1.5995	-0.97143	-0.71312	-1.3219
0	-0.4344	-0.074001	-0.16812	-0.45403	-1.4739	-2.3219	-2.1844	-2.3959	-2.1203	-2.6439	-2.3959	-1.2176
0	-0.30401	-0.1047	-0.41504	0.23879	-0.88897	-1.6897	-1.5564	-2.1203	-1.6897	-1.4739	-1.4739	0.62293
0	0.070389	-0.058894	-0.029146	-0.20091	-0.88897	-1.6897	-1.6897	-1.2863	-1.0589	-1.4739	-1.4739	-1.889
0	0.11103	0.55582	0.54597	0.028569	-0.78588	-1.0291	-1.0291	-0.66658	-0.57777	-0.81097	-0.68966	-0.37707
0	0.37851	0.34483	0.097611	0.070389	-0.64386	-1.2515	-1.0589	-0.71312	-0.51457	-0.78588	-0.81097	-0.30401
0	0.070389	0.34483	-0.21759	0.056584	-0.71312	-1.0291	-0.8625	-0.94342	-0.78588	-0.71312	-0.8365	-1.5564
0	0.21412	0.26303	-0.1047	-0.21759	-1.0291	-1.152	-0.91594	-1.152	-0.8365	-0.64386	-0.64386	-0.73697
0	0.070389	0.17632	0.014355	-0.37707	-1.2176	-1.5995	-0.97143	-1.0291	-0.73697	-1	-0.53533	0.43296
0	-0.23447	0.097611	0.070389	-0.26882	-0.76121	-1.3585	-0.71312	-0.57777	-0.8625	-0.53533	-0.53533	-0.57777
0	0.12433	-0.12029	0.1635	0.21412	-0.91594	-1.0589	-0.51457	-0.76121	-0.88897	-1.2515	-1.2863	0.95606
0	0.26303	0.27501	-0.30401	-0.30401	-0.53533	-0.97143	-1.0893	-0.8365	-1.2176	-0.47393	-0.41504	-1.4344
0	0.1635	0.056584	0.028569	-0.34008	-0.37707	-0.97143	-1.0291	-0.53533	-0.71312	-0.23447	-0.0145	-1.5995
0	-0.074001	-0.35845	0.014355	-0.23447	-0.18442	-0.88897	-1.2176	-0.81097	-0.81097	-0.53533	-0.4344	-0.81097
0	-0.51457	0.64155	0.31034	-0.34008	-0.4344	-1.0291	-0.94342	-1.2515	-0.64386	-0.57777	-0.62149	-1.737
0	-0.47393	-0.25154	-0.39593	-0.34008	-0.20091	-1	-0.88897	-1.152	-0.51457	-0.8365	-0.35845	-1.5564
0	-0.043943	-0.26882	0.12433	0.014355	0.1375	-0.53533	-0.71312	-0.53533	-1.0291	-0.59946	-0.41504	-1.3219
0	0.1635	0.7137	0.23879	-0.39593	-0.32193	-0.68966	-0.78588	-1.0893	-0.73697	-0.8625	-1.0291	-0.2863
0	1.0144	-0.029146	0.11103	0.070389	-1.1203	-1	-0.32193	0.58496	0.93357	0.926	0.8953	2.8258
0	0.32193	-0.30401	-0.66658	0.070389	-1.152	-0.97143	-0.57777	0.4957	0.86394	0.48543	0.66903	2.269
0	0.22651	-0.68966	-0.37707	-0.16812	-0.78588	-0.71312	-0.57777	0.042644	0.65992	0.42223	0.64155	1.6508
0	-0.029146	-0.81097	-0.20091	-0.47393	-1.152	-1.0589	-0.39593	-0.53533	0.15056	0.097611	0.27501	0.084064
0	-0.21759	-0.37707	-0.043943	-0.26882	-0.97143	-0.51457	-0.2863	-0.21759	0.28688	0.69599	0.74846	0.69599
0	-0.39593	-0.49411	-0.34008	-0.8365	-1	-1.0291	-0.66658	0.17632	-0.074001	0.27501	0.35614	-0.043943
0	0.014355	-0.62149	0.1375	-0.1047	-1.1844	-1.5146	-1.4344	-0.34008	0.097611	0.014355	-0.20091	1.5945
0	0.014355	-0.23447	-0.029146	-0.25154	-2	-2	-1.889	-0.97143	-0.21759	-0.16812	0.23879	0.72247
0	-0.043943	-0.37707	-0.12029	-0.13606	-0.94342	-1.3219	-1.3585	-0.089267	0.028569	0.37851	0.55582	0.014355
0	-0.152	-0.76121	-1.1844	-0.64386	-1.5995	-2.1203	-1.5995	-0.78588	-0.089267	-0.49411	-0.47393	-0.55639
0	-0.30401	-0.66658	-0.37707	-0.058894	-1.152	-1.2863	-1.0589	-0.62149	-0.53533	-0.2863	0.014355	-0.23447
0	-0.043943	-0.88897	-0.41504	-0.23447	-1.0893	-1.0589	-1	-0.73697	-0.37707	-0.26882	-0.26882	-0.51457
0	-0.51457	-0.94342	-0.51457	0.014355	-1.1203	-1.3585	-0.76121	-0.76121	-0.45403	-0.4344	-0.53533	-0.62149
0	-0.35845	-0.66658	-0.51457	-0.20091	-1.0291	-0.88897	-0.41504	-0.2863	-0.32193	-0.21759	-0.058894	-0.26882
0	0.084064	-0.71312	-0.23447	-0.20091	-0.8365	-0.62149	-0.4344	-0.39593	0.1375	-0.152	-0.23447	0.21412
0	0.12433	-0.12029	-0.37707	0.014355	-0.47393	-0.18442	-0.45403	-0.32193	0.17632	0.15056	-0.029146	0.014355
0	-0.089267	-0.68966	-0.57777	-0.51457	-0.47393	-0.1047	-0.25154	-0.12029	0.27501	0.084064	0.27501	0.42223
0	-0.16812	-0.47393	-0.81097	-0.0145	-0.51457	-0.68966	-1.0893	-0.68966	0.014355	0	0.26303	-0.37707
0	-0.074001	-0.37707	-0.73697	0.056584	-0.25154	-0.30401	-0.68966	-0.4344	0.11103	0.26303	0.29866	-0.35845
0	-0.12029	-0.71312	-0.8365	-0.30401	-0.45403	-0.57777	-0.57777	-0.78588	-0.2863	0.23879	0.1635	0.014355
0	-0.043943	-0.55639	-0.26882	-0.25154	-0.058894	-0.73697	-0.78588	-0.51457	-0.35845	-0.12029	0.097611	-0.23447
0	-0.029146	-0.68966	-0.39593	-0.1047	-0.49411	-0.73697	-1	-0.20091	-0.21759	0.17632	0.1375	-0.78588
0	-0.2863	-1.737	-0.81097	-0.35845	-0.55639	-0.94342	-1.5564	-1.2176	-0.26882	-0.21759	0.084064	-0.8625
0	-0.34008	-1.4739	-1	-1.0291	-0.55639	-1.152	-1.3959	-1.4739	-0.4344	-0.152	-0.49411	-0.76121
0	-0.64386	-1.3585	-1.3959	-0.41504	-0.41504	-0.76121	-1.1203	-1.2515	0.11103	0.38957	0.43296	0.78241
0	-0.089267	-0.88897	-0.59946	-0.76121	-0.55639	-0.32193	-0.35845	-0.73697	-0.16812	0.21412	0.17632	-0.18442
0	-0.152	-0.18442	-0.62149	0.38957	0.056584	-0.12029	-0.39593	-0.57777	-0.029146	0.1375	0.097611	-0.37707
0	-0.23447	-0.39593	-0.152	-0.53533	-2.1203	-1.5146	-1.5564	-1.8365	-0.8625	-1.1203	-0.97143	-0.39593
0	0.028569	-0.089267	-0.18442	-0.029146	-1.3585	-1.152	-1.2863	-1.4739	-0.76121	-0.88897	-0.81097	-0.78588
0	-0.058894	-0.45403	-0.59946	-0.074001	-1.5564	-2.0589	-2.4739	-1.4739	-0.64386	-0.8365	-0.8365	-0.91594
0	0.22651	0.042644	-0.0145	-0.35845	-1.737	-2.6439	-2.6439	-2.3959	-0.55639	-0.59946	-0.64386	-1.3219
0	-0.089267	0.20163	-0.152	-0.043943	-0.57777	-0.94342	-1.0291	-1	-0.23447	-0.089267	0.014355	-0.1047
0	-0.21759	-0.0145	-0.043943	-0.49411	-0.68966	-1.0291	-1.0893	-1.1203	-0.49411	-0.49411	-0.20091	-0.64386
0	0.1375	-0.2863	-0.18442	-0.26882	-0.91594	-1.1844	-1.5995	-1.0893	-0.21759	-0.49411	-0.45403	-0.68966
0	0.097611	-0.32193	-0.37707	0	-0.8625	-1.0291	-1.3585	-1.2863	-0.37707	-0.57777	-0.37707	-0.62149
0	0.070389	-0.35845	-0.49411	-0.23447	-0.62149	-1.1203	-1.2176	-1.1844	-0.4344	-0.25154	-0.30401	-0.94342
0	-0.23447	0	-0.152	-0.37707	-0.73697	-1.4344	-1.737	-0.94342	-0.058894	-0.45403	-0.47393	0.12433
0	0.12433	-0.16812	-0.13606	-0.68966	-1.0291	-1.5995	-1.6439	-1.152	-0.2863	-0.64386	-0.57777	0.50589
0	0.33342	-0.16812	-0.029146	-0.089267	-0.78588	-1.0589	-1.0291	-0.81097	-0.26882	-0.64386	-0.51457	-0.64386
0	0.097611	-0.39593	-0.30401	-0.20091	-1.0291	-1.0893	-1.0589	-0.81097	-0.35845	-0.59946	-0.68966	-0.55639
0	0.34483	-0.029146	0.32193	-0.16812	-1.5564	-2.2515	-2.1844	-1.737	-0.81097	-1.0589	-0.97143	-0.62149
0	-0.152	-0.25154	0.042644	-0.59946	-0.73697	-1.3219	-1.2863	-1.152	-0.66658	-0.68966	-0.57777	-0.88897
0	0.014355	-0.18442	-0.029146	-0.51457	-1.2515	-1.7859	-1.9434	-1.6439	-0.94342	-0.94342	-0.4344	-0.37707
0	0	0.23879	0.40054	0.18903	-0.18442	-1.737	-1.737	-1.2515	-0.71312	-0.78588	-0.37707	-0.68966
0	0.070389	-0.029146	-0.0145	0.22651	-0.21759	-1.152	-1.4739	-1.3959	-0.68966	-0.55639	-0.13606	-0.71312
0	0.070389	0.18903	-0.13606	0.084064	-0.64386	-1.1203	-1.3959	-1.3959	-0.55639	-0.8365	-0.73697	-1.2176
0	0.028569	0.33342	0.28688	0.17632	-0.41504	-0.8365	-1.0291	-1.0291	-0.32193	-0.23447	-0.49411	-0.47393
0	-0.34008	-0.45403	-0.45403	-0.18442	-0.47393	-1.5995	-1.3585	-1.5995	-0.59946	-0.64386	-0.55639	-0.26882
0	0.34483	0.21412	0.31034	-0.152	-0.13606	-0.47393	-0.64386	-0.53533	-0.55639	-0.30401	0.28688	-0.37707
0	-0.043943	0.028569	0.22651	-0.37707	-0.089267	-0.91594	-1.0893	-0.78588	-0.074001	-0.13606	-0.32193	-0.45403
0	-0.029146	-0.30401	-0.152	-0.18442	-0.55639	-1.3959	-1.2863	-0.78588	-0.81097	-0.23447	-0.029146	-0.25154
0	0.38957	-0.12029	0.22651	0.042644	-0.18442	-0.8365	-1.0291	-0.68966	-0.30401	0.056584	0.1375	-0.0145
0	-0.13606	-0.71312	-0.41504	-0.47393	-0.2863	-1.2515	-1.3959	-1.3585	-0.76121	-0.20091	-0.30401	-0.71312
0	-0.53533	-0.64386	-0.88897	-0.45403	-1	-1.1203	-2.0589	-1.9434	-0.25154	-0.53533	-0.66658	-0.64386
0	0.084064	-0.25154	-0.1047	-0.152	-0.53533	-1.1844	-1.3219	-1.4344	0.11103	-0.62149	-0.39593	-0.13606
0	0.056584	-0.12029	-0.26882	-0.152	-0.4344	-0.91594	-1.3219	-1.0893	-0.029146	-0.30401	-0.152	0.61353
0	-0.37707	-0.8365	-0.57777	-0.47393	-0.64386	-1.1203	-1.3219	-1.5564	-0.45403	-0.64386	-0.64386	-0.49411
0	-0.043943	-0.57777	-0.35845	-0.34008	-0.76121	-1.2176	-1.6439	-1.4344	-0.39593	-0.64386	-0.94342	-0.8365
0	-0.12029	-0.152	-0.34008	-0.152	-0.8365	-1.3219	-1.4739	-1.0893	-0.51457	-0.47393	-0.73697	-0.73697
0	-0.1047	-0.71312	-0.39593	-0.089267	-1.2515	-1.9434	-2.3219	-1.6897	-0.51457	-0.4344	-0.39593	-0.4344
0	-0.152	-0.55639	-0.089267	-0.20091	-0.55639	-1	-1.4739	-1.2863	-0.35845	-0.53533	-0.30401	-0.57777
0	-0.029146	-0.78588	-0.0145	0.11103	-0.76121	-1.152	-1.9434	-1.1844	-0.39593	-0.18442	-0.21759	-0.16812
0	0.20163	-0.26882	-0.20091	0	-0.18442	-0.57777	-1.1203	-1.3959	0	-0.058894	-0.058894	0.22651
0	-0.029146	-0.23447	-0.73697	-0.20091	-0.8365	-1.1203	-1.5995	-1.9434	-0.59946	-0.68966	-0.20091	-0.71312
0	0.36737	-0.16812	-0.49411	-0.152	-0.78588	-1.0893	-1.3585	-1.9434	-0.62149	-0.2863	-0.26882	-0.45403
0	-0.2863	-0.20091	-0.1047	-0.1047	-0.53533	-0.78588	-1.4739	-1.7859	-0.57777	-0.49411	-0.089267	-0.37707
0	0.014355	-0.23447	0.1635	-0.152	-0.39593	-0.88897	-1.152	-1.6439	-0.35845	-0.62149	-0.32193	-0.47393
0	-0.089267	-0.32193	-0.35845	-0.49411	-0.73697	-1.1844	-1.4344	-1.5995	-0.68966	-0.73697	-0.81097	-0.4344
0	-0.34008	-0.55639	-0.41504	-0.2863	-1.2176	-1.5146	-1.3219	-1.6897	-0.51457	-0.76121	-0.47393	-0.57777
0	-0.39593	-0.53533	-0.152	-0.20091	-0.94342	-0.97143	-1.0291	-1.5146	-0.30401	-0.39593	-0.25154	-0.26882
0	-0.23447	-0.49411	-0.51457	-0.13606	-1.0893	-0.59946	-1.2515	-1.5564	-0.37707	-0.35845	-0.26882	0.42223
0	0.11103	-0.18442	-0.30401	0.042644	-0.64386	-0.88897	-1.1844	-1.3585	-0.45403	-0.4344	-0.043943	-0.41504
0	0.22651	-0.41504	-0.53533	-0.26882	-0.55639	-0.91594	-0.66658	-1.0291	-0.66658	-0.59946	-0.058894	-0.62149
0	0.12433	-0.45403	-0.35845	0.014355	-0.76121	-0.8365	-0.66658	-0.73697	-0.25154	-0.35845	-0.21759	-0.25154
0	0.44361	-0.0145	-0.41504	0.25096	-0.91594	-0.81097	-0.78588	-1.1203	-0.0145	-0.26882	-0.1047	-0.32193
0	-0.1047	-0.68966	-0.57777	-0.55639	-0.78588	-1.3585	-1.2515	-1.1203	-0.16812	-0.12029	-0.058894	-0.12029
0	-0.089267	-0.76121	-0.37707	-0.51457	-0.88897	-1.3585	-1.3219	-1.1203	-0.76121	-0.51457	-0.089267	-0.089267
0	-0.47393	-0.76121	-0.68966	-0.34008	-0.97143	-1.2176	-1.3959	-1.3219	-0.71312	-0.76121	-0.49411	-0.57777
0	-0.30401	-0.91594	-0.53533	-0.089267	-0.53533	-1.4344	-1.1844	-1.2863	-0.074001	-0.18442	-0.26882	-0.81097
0	-0.49411	-0.21759	-0.97143	-0.32193	-1.0291	-1.6439	-1.5564	-1.7859	-0.074001	-0.4344	-0.62149	-0.76121
0	-0.66658	-0.4344	-0.51457	0.056584	-0.78588	-1.1844	-1.0893	-1.0291	-0.058894	-0.058894	-0.30401	-0.35845
0	-1	-0.49411	-0.64386	-1.0291	-0.8625	-1.1203	-1.2176	-1.4344	-0.20091	-0.089267	-0.029146	0.22651
0	-0.53533	-0.49411	-0.35845	-0.49411	-0.81097	-1.1203	-0.62149	-1.1844	-0.4344	-0.20091	-0.0145	-0.64386
0	-0.53533	-0.49411	-0.66658	-0.37707	-0.41504	-0.78588	-0.78588	-1.2515	-0.20091	-0.058894	0.29866	0.17632
0	0.056584	-0.25154	-0.074001	-0.35845	-0.78588	-0.55639	-0.71312	-0.71312	0.20163	0.28688	0.48543	0.17632
0	-0.30401	-0.30401	0.15056	0.014355	-1	-0.73697	-0.8625	-0.8625	0.1375	0	0.15056	-0.45403
0	-0.152	-0.18442	-0.20091	0.18903	-0.68966	-0.55639	-0.49411	-0.59946	0.11103	0.43296	0.48543	-0.25154
0	0	-0.1047	-0.21759	-0.20091	-0.62149	-0.8365	-0.41504	-0.51457	0.20163	0.014355	0.28688	-0.0145
0	0.32193	0.1375	0.028569	-0.043943	-0.88897	-0.76121	-0.26882	-0.45403	0.11103	0.31034	0.40054	0.31034
0	-0.1047	-0.1047	-0.1047	-0.66658	-1.2515	-0.53533	-0.47393	-0.8625	0.084064	0.056584	0.11103	-0.4344
0	-0.73697	-0.34008	-0.78588	-1.0291	-1.4739	-1.6439	-1.8365	-1.5564	-0.66658	-0.30401	0.042644	-0.64386
0	-0.57777	-0.2863	-0.2863	-0.8365	-1.2176	-1.0893	-1.3585	-1.0893	-0.23447	-0.49411	-0.4344	-0.47393
0	-0.78588	-0.41504	-0.47393	-1.0291	-0.97143	-0.49411	-1.5995	-1.2515	-0.35845	-0.51457	-0.16812	-1.0589
0	-0.4344	-0.23447	-0.12029	-0.35845	-1.4739	-1.4739	-1.8365	-1.8365	-0.18442	-0.0145	-0.13606	-0.76121
