CRAB	sp	sex	sp_and_sex	pc1	FL	RW	CL	CW	BD
BM34	0	0	0	0.840629617	0.233740776	0.101618912	0.504917625	0.684137535	0.34148256
BM35	0	0	0	1.15461149	0.290960061	0.295918936	0.842044429	0.887390725	0.253885494
BM36	0	0	0	0.851407039	0.348179345	0.023898903	0.575152376	0.684137535	0.253885494
BM37	0	0	0	1.14466976	0.376788987	0.179338922	0.729668828	0.798467454	0.458278647
BM38	0	0	0	0.907474002	0.434008271	-0.053821107	0.603246276	0.709544183	0.312283538
BM39	0	0	0	1.003332242	0.434008271	-0.014961102	0.645387127	0.696840859	0.458278647
BM40	0	0	0	1.387082943	0.462617913	0.295918936	0.771809678	0.950907347	0.604273756
BM41	0	0	0	1.559610811	0.605666124	0.334778941	0.92632613	1.027127293	0.575074734
BM42	0	0	0	1.843399016	0.662885408	0.529078965	1.066795632	1.039830617	0.808666908
BM43	0	0	0	1.667480845	0.691495051	0.373638946	0.996560881	1.014423969	0.633472778
BM44	0	0	0	2.779171753	0.920372188	1.189699046	1.403922437	1.59877689	1.100657126
BM45	0	0	0	2.337773755	1.063420398	0.295918936	1.333687686	1.3955237	1.100657126
BM46	0	0	0	2.159816442	1.063420398	0.412498951	1.235359035	1.281193781	0.808666908
BM47	0	0	0	2.771010864	1.177858967	0.995399022	1.375828536	1.535260268	1.100657126
BM48	0	0	0	2.857887597	1.206468609	0.56793897	1.558438889	1.687700161	1.3342493
BM49	0	0	0	2.738232263	1.206468609	0.606798974	1.446063287	1.586073566	1.246652235
BM50	0	0	0	4.01481575	1.635613241	1.150839041	2.106269946	2.310163056	1.743035605
BF1	0	1	1	-5.38108418	-2.398346301	-2.424281397	-2.444941916	-2.453583588	-2.315628422
BF2	0	1	1	-3.991181752	-1.883372742	-1.647081302	-1.798782207	-1.742197422	-1.848444074
BF3	0	1	1	-4.15874231	-1.8547631	-1.802521321	-1.911157808	-1.881933991	-1.848444074
BF4	0	1	1	-4.063164865	-1.8547631	-1.763661316	-1.812829157	-1.805714044	-1.848444074
BF5	0	1	1	-3.961341703	-1.740324531	-1.763661316	-1.756641356	-1.780307396	-1.819245052
BF6	0	1	1	-3.53752	-1.654495605	-1.491641283	-1.644265755	-1.58975753	-1.527254834
BF7	0	1	1	-3.424400975	-1.568666679	-1.336201264	-1.574031004	-1.526240908	-1.644050921
BF8	0	1	1	-3.25675958	-1.511447394	-1.258481254	-1.517843203	-1.488130935	-1.498055813
BF9	0	1	1	-3.224016332	-1.482837752	-1.180761245	-1.461655402	-1.399207664	-1.673249943
BF10	0	1	1	-2.997677984	-1.368399184	-1.258481254	-1.349279801	-1.284877745	-1.439657769
BF11	0	1	1	-3.074846547	-1.311179899	-1.14190124	-1.349279801	-1.361097691	-1.702448965
BF12	0	1	1	-2.769795253	-1.253960615	-1.06418123	-1.30713895	-1.208657798	-1.352060704
BF13	0	1	1	-2.219721727	-1.168131689	-0.675581183	-1.040246896	-0.916481338	-1.147667551
BF14	0	1	1	-2.213754497	-1.139522046	-0.675581183	-1.054293847	-1.005404608	-1.060070486
BF15	0	1	1	-2.303051342	-1.139522046	-0.520141164	-1.180716398	-1.107031203	-1.176866573
BF16	0	1	1	-2.248253034	-1.110912404	-0.831021202	-1.012152996	-1.005404608	-1.060070486
BF17	0	1	1	-1.861760497	-1.05369312	-0.520141164	-0.857636544	-0.802151418	-0.914075377
BF18	0	1	1	-2.175830953	-1.025083478	-0.792161197	-1.054293847	-0.954591311	-1.030871464
BF19	0	1	1	-1.9753242	-1.025083478	-0.636721178	-0.941918245	-0.916481338	-0.884876355
BF20	0	1	1	-1.506344775	-0.853425625	-0.209261126	-0.843589594	-0.611601552	-0.826478312
BF21	0	1	1	-1.430701418	-0.796206341	-0.403561149	-0.703120092	-0.66241485	-0.622085159
BF22	0	1	1	-1.484109218	-0.796206341	-0.209261126	-0.759307893	-0.675118174	-0.855677333
BF23	0	1	1	-1.309185812	-0.796206341	-0.209261126	-0.59074449	-0.573491579	-0.738881246
BF24	0	1	1	-1.486649646	-0.738987056	-0.520141164	-0.675026191	-0.586194904	-0.79727929
BF25	0	1	1	-1.418487373	-0.710377414	-0.481281159	-0.632885341	-0.484568309	-0.855677333
BF26	0	1	1	-1.24599864	-0.681767772	-0.209261126	-0.59074449	-0.54808493	-0.738881246
BF27	0	1	1	-1.194107287	-0.624548488	-0.364701145	-0.520509739	-0.471864984	-0.680483203
BF28	0	1	1	-0.936777359	-0.538719562	-0.092681111	-0.492415839	-0.332128416	-0.622085159
BF29	0	1	1	-0.517533432	-0.481500277	0.101618912	-0.295758536	-0.192391848	-0.271696898
BF30	0	1	1	-0.58136631	-0.25262314	-0.092681111	-0.281711586	-0.217798497	-0.446891028
BF31	0	1	1	-0.453362787	-0.195403856	0.179338922	-0.281711586	-0.103468577	-0.592886137
BF32	0	1	1	0.099148189	-0.166794214	0.412498951	-0.056960383	0.06167464	-0.008905702
BF33	0	1	1	0.264355721	-0.166794214	0.56793897	0.097556069	0.125191262	-0.008905702
BF34	0	1	1	-0.064955797	-0.138184572	0.218198927	-0.042913433	-0.014545306	-0.154900811
BF35	0	1	1	0.054302769	-0.138184572	0.295918936	-0.028866483	0.074377964	-0.067303745
BF36	0	1	1	-0.036828449	-0.138184572	0.412498951	-0.056960383	0.023564667	-0.300895919
BF37	0	1	1	0.532114693	-0.109574929	0.606798974	0.252072521	0.26492783	0.195487451
BF38	0	1	1	0.315649109	-0.080965287	0.56793897	0.069462169	0.239521181	-0.067303745
BF39	0	1	1	0.126046486	-0.052355645	0.218198927	0.041368268	0.150597911	-0.067303745
BF40	0	1	1	0.467379507	-0.023746003	0.412498951	0.18183777	0.290334479	0.195487451
BF41	0	1	1	0.2416711	0.004863639	0.451358955	0.097556069	0.188707884	-0.184099832
BF42	0	1	1	0.654987235	0.004863639	0.762238993	0.252072521	0.391961074	0.078691364
BF43	0	1	1	0.43211585	0.033473281	0.451358955	0.209931671	0.26492783	0.02029332
BF44	0	1	1	0.946503609	0.062082923	0.878819008	0.336354222	0.493587669	0.370681582
BF45	0	1	1	0.835629565	0.176521492	0.956539017	0.336354222	0.46818102	-0.038104723
BF46	0	1	1	0.796849878	0.233740776	0.49021896	0.294213372	0.430071047	0.34148256
BF47	0	1	1	1.484387363	0.319569703	1.30627906	0.631340176	0.696840859	0.399880603
BF48	0	1	1	2.093952649	0.519837198	1.617159098	0.856091379	0.976313995	0.750268865
BF49	0	1	1	2.174692948	0.54844684	1.539439088	0.91227918	1.027127293	0.867064952
BF50	0	1	1	2.847409497	1.034810756	1.461719079	1.235359035	1.459040322	1.188254191
OM1	1	0	2	-4.68434582	-1.8547631	-2.268841378	-2.164002912	-2.263033722	-1.936041139
OM2	1	0	2	-3.686025123	-1.540057036	-1.763661316	-1.672359655	-1.805714044	-1.468856791
OM3	1	0	2	-3.468012909	-1.397008826	-1.608221297	-1.602124904	-1.742197422	-1.410458747
OM4	1	0	2	-2.944757146	-1.196741331	-1.452781278	-1.3211859	-1.47542761	-1.147667551
OM5	1	0	2	-2.543183901	-0.882035267	-1.297341259	-1.250951149	-1.322987718	-0.943274399
OM6	1	0	2	-2.369531712	-0.882035267	-1.297341259	-1.110481647	-1.195954474	-0.826478312
OM7	1	0	2	-1.841064812	-0.824815983	-0.908741211	-0.857636544	-0.967294635	-0.563687116
OM8	1	0	2	-1.50172848	-0.681767772	-0.675581183	-0.703120092	-0.764041445	-0.534488094
OM9	1	0	2	-1.729571605	-0.624548488	-1.025321226	-0.773354843	-0.86566804	-0.592886137
OM10	1	0	2	-1.405875908	-0.538719562	-0.675581183	-0.646932291	-0.751338121	-0.534488094
OM11	1	0	2	-0.959734407	-0.452890635	-0.481281159	-0.408134138	-0.535381606	-0.271696898
OM12	1	0	2	-1.119089149	-0.424280993	-0.908741211	-0.450274988	-0.586194904	-0.154900811
OM13	1	0	2	-1.153872565	-0.424280993	-0.869881206	-0.422181088	-0.611601552	-0.271696898
OM14	1	0	2	-1.102537946	-0.424280993	-0.792161197	-0.478368889	-0.573491579	-0.213298854
OM15	1	0	2	-1.170386124	-0.395671351	-0.831021202	-0.478368889	-0.598898228	-0.330094941
OM16	1	0	2	-1.283235857	-0.395671351	-0.792161197	-0.60479144	-0.700524823	-0.388492985
OM17	1	0	2	-0.91444874	-0.395671351	-0.559001168	-0.408134138	-0.535381606	-0.154900811
OM18	1	0	2	-0.835865608	-0.281232782	-0.559001168	-0.309805486	-0.370238389	-0.359293963
OM19	1	0	2	-0.954204453	-0.25262314	-0.636721178	-0.436228038	-0.54808493	-0.271696898
OM20	1	0	2	-0.588878296	-0.138184572	-0.520141164	-0.267664636	-0.395645038	-0.008905702
OM21	1	0	2	-0.50074206	-0.138184572	-0.481281159	-0.169335985	-0.306721767	-0.038104723
OM22	1	0	2	-0.648646852	-0.052355645	-0.636721178	-0.267664636	-0.357535065	-0.154900811
OM23	1	0	2	-0.204823539	0.033473281	-0.209261126	-0.056960383	-0.281315118	0.049492342
OM24	1	0	2	-0.039604049	0.176521492	-0.364701145	0.027321318	-0.14157855	0.195487451
OM25	1	0	2	-0.193877723	0.205131134	-0.442421154	-0.071007333	-0.281315118	0.137089407
OM26	1	0	2	0.719734427	0.434008271	-0.053821107	0.406588973	0.315741128	0.487477669
OM27	1	0	2	0.962061333	0.519837198	0.023898903	0.561105425	0.391961074	0.633472778
OM28	1	0	2	0.489097471	0.54844684	-0.286981135	0.322307272	0.112487937	0.370681582
OM29	1	0	2	0.786662797	0.54844684	-0.014961102	0.350401173	0.252224506	0.604273756
OM30	1	0	2	1.040575045	0.634275766	-0.092681111	0.547058475	0.430071047	0.779467886
OM31	1	0	2	1.21402144	0.662885408	0.062758908	0.673481027	0.569807615	0.721069843
OM32	1	0	2	1.399333203	0.691495051	0.257058931	0.645387127	0.620620913	0.896263974
OM33	1	0	2	1.702178454	0.748714335	0.373638946	0.940373081	0.798467454	0.925462995
OM34	1	0	2	1.658056669	0.805933619	0.257058931	0.813950529	0.734950832	1.071458104
OM35	1	0	2	1.607675584	0.863152903	0.257058931	0.799903579	0.696840859	0.954662017
OM36	1	0	2	1.430079946	0.863152903	0.295918936	0.673481027	0.480884344	0.867064952
OM37	1	0	2	1.575841834	0.920372188	0.257058931	0.715621877	0.595214264	1.013060061
OM38	1	0	2	1.948448766	0.920372188	0.412498951	0.996560881	0.8746874	1.129856148
OM39	1	0	2	2.050666135	1.09203004	0.529078965	0.982513931	0.861984076	1.100657126
OM40	1	0	2	2.221331771	1.09203004	0.645658979	1.080842582	1.001720644	1.129856148
OM41	1	0	2	2.270989345	1.292297535	0.373638946	1.193218184	1.027127293	1.15905517
OM42	1	0	2	2.917481675	1.435345746	0.645658979	1.502251088	1.281193781	1.626239518
OM43	1	0	2	3.089136408	1.549784315	0.878819008	1.516298038	1.370117051	1.567841475
OM44	1	0	2	3.743309554	1.692832525	1.073119031	1.881518743	1.687700161	2.005826801
OM45	1	0	2	3.71282615	1.721442168	1.034259027	1.909612644	1.687700161	1.918229736
OM46	1	0	2	3.314798429	1.721442168	0.801098998	1.586532789	1.497150295	1.772234627
OM47	1	0	2	3.922773336	1.807271094	1.150839041	1.867471793	1.852843378	2.064224845
OM48	1	0	2	3.755083265	1.864490378	1.189699046	1.755096192	1.674996836	1.889030714
OM49	1	0	2	4.478284661	2.121977158	1.578299093	2.120316897	1.992579946	2.181020932
OM50	1	0	2	4.387012594	2.1505868	1.150839041	2.176504697	2.081503217	2.210219954
OF1	1	1	3	-3.086971284	-1.397008826	-1.180761245	-1.503796253	-1.577054205	-1.235264616
OF2	1	1	3	-3.067953762	-1.196741331	-1.375061268	-1.461655402	-1.564350881	-1.264463638
OF3	1	1	3	-2.315620333	-0.882035267	-1.06418123	-1.124528598	-1.195954474	-0.914075377
OF4	1	1	3	-1.853847606	-0.853425625	-0.481281159	-0.998106046	-1.056217906	-0.738881246
OF5	1	1	3	-1.704029144	-0.767596699	-0.597861173	-0.885730444	-0.929184662	-0.622085159
OF6	1	1	3	-1.144961942	-0.452890635	-0.32584114	-0.717167042	-0.637008201	-0.417692007
OF7	1	1	3	-0.810207428	-0.452890635	0.023898903	-0.464321939	-0.509974957	-0.388492985
OF8	1	1	3	-0.976493965	-0.367061709	-0.209261126	-0.56265059	-0.586194904	-0.446891028
OF9	1	1	3	-0.518581516	-0.25262314	0.179338922	-0.351946337	-0.382941714	-0.330094941
OF10	1	1	3	-0.430640128	-0.195403856	0.101618912	-0.295758536	-0.34483174	-0.213298854
OF11	1	1	3	-0.458487194	-0.166794214	-0.170401121	-0.281711586	-0.395645038	-0.008905702
OF12	1	1	3	0.005034128	0.004863639	0.295918936	-0.127195134	-0.166985199	0.02029332
OF13	1	1	3	0.085604753	0.004863639	0.49021896	-0.071007333	-0.14157855	-0.067303745
OF14	1	1	3	0.018196611	0.004863639	0.529078965	-0.155289034	-0.243205145	-0.067303745
OF15	1	1	3	-0.034840832	0.033473281	0.334778941	-0.155289034	-0.205095172	-0.067303745
OF16	1	1	3	0.150190861	0.14791185	0.334778941	-0.071007333	-0.05265528	-0.008905702
OF17	1	1	3	0.146649578	0.14791185	0.373638946	-0.099101234	-0.039951955	-0.038104723
OF18	1	1	3	0.167213833	0.176521492	0.49021896	-0.071007333	-0.103468577	-0.096502767
OF19	1	1	3	0.538273777	0.319569703	0.606798974	0.027321318	0.074377964	0.195487451
OF20	1	1	3	0.672482057	0.434008271	0.684518984	0.13969692	0.099784613	0.166288429
OF21	1	1	3	1.049317274	0.54844684	0.606798974	0.336354222	0.404664398	0.458278647
OF22	1	1	3	1.084253253	0.54844684	0.645658979	0.336354222	0.328444452	0.575074734
OF23	1	1	3	0.793126488	0.54844684	0.762238993	0.16779082	0.150597911	0.166288429
OF24	1	1	3	0.910045822	0.577056482	0.49021896	0.266119471	0.277631154	0.429079625
OF25	1	1	3	1.233940922	0.691495051	0.839959003	0.364448123	0.391961074	0.487477669
OF26	1	1	3	2.068646179	0.691495051	1.383999069	0.813950529	0.836577427	0.925462995
OF27	1	1	3	1.541247976	0.777323977	1.150839041	0.420635923	0.518994318	0.604273756
OF28	1	1	3	1.497750053	0.805933619	1.073119031	0.490870674	0.455477696	0.545875712
OF29	1	1	3	1.745854825	0.805933619	1.150839041	0.617293226	0.658730886	0.691870821
OF30	1	1	3	1.656929106	0.834543261	0.723378989	0.687527977	0.709544183	0.750268865
OF31	1	1	3	1.147069723	0.863152903	0.684518984	0.364448123	0.379257749	0.283084516
OF32	1	1	3	1.633166295	0.920372188	0.956539017	0.518964575	0.518994318	0.750268865
OF33	1	1	3	1.824943285	0.94898183	1.539439088	0.589199326	0.67143421	0.370681582
OF34	1	1	3	2.061830993	1.006201114	1.267419055	0.799903579	0.747654157	0.808666908
OF35	1	1	3	2.187971441	1.006201114	1.383999069	0.813950529	0.78576413	0.925462995
OF36	1	1	3	2.648432159	1.177858967	1.539439088	1.094889533	0.912797373	1.217453213
OF37	1	1	3	2.603509177	1.235078251	1.500579084	1.024654782	0.950907347	1.129856148
OF38	1	1	3	3.007550529	1.235078251	2.005759146	1.122983433	1.268490456	1.129856148
OF39	1	1	3	2.739155873	1.263687893	1.539439088	1.165124284	1.103347239	1.071458104
OF40	1	1	3	2.858291787	1.292297535	1.733739112	1.080842582	0.976313995	1.3342493
OF41	1	1	3	2.580075536	1.34951682	1.267419055	1.024654782	0.976313995	1.15905517
OF42	1	1	3	3.131903069	1.406736104	1.850319127	1.108936483	1.154160537	1.509443431
OF43	1	1	3	3.280439082	1.435345746	1.850319127	1.319640736	1.243083807	1.509443431
OF44	1	1	3	2.741180108	1.521174673	1.461719079	1.094889533	1.052533942	1.013060061
OF45	1	1	3	3.89851228	1.635613241	2.200059169	1.64272059	1.522556944	1.743035605
OF46	1	1	3	3.382095331	1.664222883	2.04461915	1.277499885	1.243083807	1.363448322
OF47	1	1	3	3.478881462	1.75005181	1.694879108	1.347734636	1.370117051	1.626239518
OF48	1	1	3	3.576960621	1.807271094	1.733739112	1.474157188	1.3955237	1.597040496
OF49	1	1	3	3.794025423	1.978928947	1.733739112	1.530344989	1.560666917	1.684637562
OF50	1	1	3	4.963281394	2.1505868	2.899539255	1.979847395	2.043393243	2.064224845
